company_name,trade_name,tax_id,contact_name,contact_email,phone,description,sector,sub_sector,city,address,website,facebook,instagram,linkedin,logo_url,export_destinations,certifications,is_published,product_name,product_description,tariff_position
Maria Jimena Monticelli,Estudio AD Consultora,27274101011,Jimena Monticelli,jimemonticelli@gmail.com,+54 9 362 4695866,"Marca comercial: Estudio AD Consultora.
Experiencia exportadora: Exportador potencial (no exporta / nunca exportó).
Rubro: Servicios Basados en el Conocimiento.",Servicios Basados en el Conocimiento,,Resistencia,"Jose Maria Paz 549, CP 3500, Resistencia, Chaco",,,https://www.instagram.com/estudio.ad.consultora/,,https://drive.google.com/file/d/10-GIr0XHi-S2jIx8tpjO2BeI8C5QIGpM/view,,,true,Servicios para Gestion de Capital Humano,Servicios para Gestion de Capital Humano,
Monotributista,Albertina,20356982348,Maycol Aron Borghardt,albertina.deco.a@gmail.com,+54 9 3735 409723,"Marca comercial: Albertina.
Experiencia exportadora: Exportador potencial (no exporta / nunca exportó).
Rubro: Muebles y Deco.",Muebles y Deco,,Villa Ángela,"Montevelluna y Lavalle, CP 3540, Villa Ángela, Chaco",https://alberina.com.ar,https://www.facebook.com/share/1LrkVGPbFH/,https://www.instagram.com/albertina_deco_home/,,https://drive.google.com/file/d/1AKvuBOt_4kkBtpDzLC6w_jste9apI2W-/view,,,true,"Diseño y fabricación de productos decorativos, en madera combinada con resina, con estándares de exportación","Diseño y fabricación de productos decorativos, en madera combinada con resina, con estándares de exportación",4420.90.00
Natalia Silva,Natalia Silva - Consultora en Estructura Digital,27301593088,Natalia Silva,contacto@nataliasilva.com.ar,+54 9 362 4596570,"Marca comercial: Natalia Silva - Consultora en Estructura Digital.
Experiencia exportadora: Exportador potencial (no exporta / nunca exportó).
Rubro: Servicios Basados en el Conocimiento.",Servicios Basados en el Conocimiento,,Puerto Tirol,"Chacra 77 Pc12 Qta1, CP 3505, Puerto Tirol, Chaco",https://nataliasilva.com.ar/,https://www.facebook.com/people/Natalia-Silva-Diseño-Mkt-Digital/61581600584953/,https://www.instagram.com/dg.nataliasilva/,https://www.linkedin.com/in/nataliasilva-dg/,https://share.google/AsYXUSDFvrUXnutuw,,,true,"Servicios de consultoría en estructura digital orientados a la organización, optimización y profesionalización de negocios y proyectos. Especialización en estrategia digital, eComm","Servicios de consultoría en estructura digital orientados a la organización, optimización y profesionalización de negocios y proyectos. Especialización en estrategia digital, eCommerce, experiencia de usuario, comunicación visual, onboarding comercial, organización de procesos digitales y articulación entre tecnología, negocio y comunicación.",
Natural Gums SA,Nature Gum,30712419845,Gustavo Prola,naturalgumssa@gmail.com,+54 9 11 58084696,"Marca comercial: Nature Gum.
Experiencia exportadora: Exportador potencial (no exporta / nunca exportó).
Rubro: Alimentos y Bebidas.",Alimentos y Bebidas,,CABA,"Antezana 428 Piso 7 Dto 15, CP 1414, CABA, Chaco",https://www.nature-gum.com,,,,,,,true,"Harina de Arroz, harina de arroz Integral, Semola de Arroz, rebozador de arroz y otros","Harina de Arroz, harina de arroz Integral, Semola de Arroz, rebozador de arroz y otros",1102.90.00
Ojeda Cipolletti Jorgelina Araceli,JaoChá,27220582960,Jorgelina Araceli Ojeda Cipolletti,jaocha.blends@gmail.com,+54 9 362 4311474,"Marca comercial: JaoChá.
Experiencia exportadora: Exportador potencial (no exporta / nunca exportó).
Cámaras/asociaciones: camara de comercio de Resistencia.
Rubro: Alimentos y Bebidas.",Alimentos y Bebidas,,Resistencia,"Arturo Frondizi 1886, CP 3500, Resistencia, Chaco",https://jaochablends.wixsite.com/jaocha,JaoChá,https://www.instagram.com/jaocha_teyblends/,,,,ninguna,true,"Blends de té (Mezcla de té en hebras y tisanas) con diferentes ingredientes especias, flores, frutos, hierbas. Y hebras puras.","Blends de té (Mezcla de té en hebras y tisanas) con diferentes ingredientes especias, flores, frutos, hierbas. Y hebras puras.",1905.90.90
Pablo Daniel Jatchuk,Fasty Congelados,20314598068,Pablo Jatchuk,palijatchuk@gmail.com,+54 9 362 4238082,"Marca comercial: Fasty Congelados.
Experiencia exportadora: Exportador potencial (no exporta / nunca exportó).
Rubro: Alimentos y Bebidas.",Alimentos y Bebidas,,Resistencia,"Pasaje Velez Sarsfield 1140, CP 3500, Resistencia, Chaco",,,https://www.instagram.com/fasty.congelados/,,https://kommodo.ai/i/Qp09jZazjtWJnqdIumlj,,,true,Chipa congelado y otros,Chipa congelado y otros,1905.90.90
Plus Ultra SRL,Plus Ultra,30708731923,Sofia Arechavala,sofia_plusultra@hotmail.com,+54 9 362 4628840,"Marca comercial: Plus Ultra.
Experiencia exportadora: Exportador potencial (no exporta / nunca exportó).
Rubro: Alimentos y Bebidas.",Alimentos y Bebidas,,Resistencia,"Isla del Cerrito 1835, CP 3500, Resistencia, Chaco",https://plusultrapan.netlify.app,https://www.facebook.com/p/Plus-Ultra-100045061942225/,https://www.instagram.com/plusultra.elpanideal/,,,,,true,"Panificadora especializada en pan de miga, pan lactal, pan de pancho, pan de hamburguesa, pre pizza.","Panificadora especializada en pan de miga, pan lactal, pan de pancho, pan de hamburguesa, pre pizza.",0902.30.00
Roxana Patricia Vagabculow,Tabla Canadiense,27265936151,Jorge Luis Oliveros,info@tablacanadiense.com.ar,+54 9 362 4728750,"Marca comercial: Tabla Canadiense.
Experiencia exportadora: Exportador frecuente (exporta regularmente).
Rubro: Salud y Farmacia.",Salud y Farmacia,,Resistencia,"Santa Maria de Oro 816, CP 3500, Resistencia, Chaco",https://tablacanadiense.com.ar/,https://www.facebook.com/tablacanadiense.co/,https://www.instagram.com/tablacanadiense.co/,https://www.linkedin.com/in/tablacanadiense/,https://tablacanadiense.com.ar/wp-content/uploads/2025/12/LOGO.png,"Argentina, Chile, Paraguay, Uruguay, Perú, Ecuador, Colombia, Venezuela, Panamá, Costa Rica, Guatemala, México, Estados Unidos, Francia, España | Interés: Brasil, Portugal, Italia, Alemania, Reino Unido, Canadá, Australia, Nueva Zelanda, Japón, Corea del Sur, Emiratos Árabes Unidos, Suiza, Bélgica, Países Bajos, Irlanda",,true,"Tabla Canadiense para entrenamiento funcional y motricidad fina de la mano y miembro superior, con accesorios intercambiables. Uso didáctico para instituciones educativas y profesi","Tabla Canadiense para entrenamiento funcional y motricidad fina de la mano y miembro superior, con accesorios intercambiables. Uso didáctico para instituciones educativas y profesionales de rehabilitación.",9019.10.00
Torres Giselle Marisel,Nina del Norte,23307056054,Torres Giselle Marisel,mariseltorres@hotmail.com,+54 9 362 4877158,"Marca comercial: Nina del Norte.
Experiencia exportadora: Exportador potencial (no exporta / nunca exportó).
Rubro: Alimentos y Bebidas.",Alimentos y Bebidas,,Colonia Benítez,"Chacra 109 Pc 50 S/n Fincas Don Antonio, CP 3505, Colonia Benítez, Chaco",,,,,"Nina del Norte (texto plano, sin link)",,,true,Alfajores Regionales,Alfajores Regionales,1905.31.00
Unitán S.A.I.C.A.,Unitán S.A.I.C.A.,30506733002,Antonio Oscar Gil,aogil@unitan.net,54 9 (11) 41920204,"Experiencia exportadora: Exportador frecuente (exporta regularmente).
Cámaras/asociaciones: CERA, Cámara Argentina de Productores de Extracto de Quebracho.
Rubro: Curtientes y Taninos.",Curtientes y Taninos,,Puerto Tirol,"Calle Unitán S/N, CP 3505, Puerto Tirol, Chaco",www.unitan.net,,,,,"Alemania, Argelia, Australia, Bangladesh, Bolivia, Brasil, Canadá, Chile, China, Colombia, Corea, Ecuador, Egipto, España, Finlandia, Francia, Georgia, Grecia, Holanda, India, Italia, Japón, México, Pakistán, Paraguay, Perú, Polonia, Portugal, Rusia, Sudáfrica, Taiwán, Tailandia, Turquía, UK, USA | Interés: Indonesia, Vietnam, Países africanos","ISO, Senasa, Orgánico, Kosher, Halal, BPM, GMP+, ZDHC, Vegan",true,Curtientes Vegetales,Curtientes Vegetales,3201.10
Unitán S.A.I.C.A.,Unitán S.A.I.C.A.,30506733002,Antonio Oscar Gil,aogil@unitan.net,54 9 (11) 41920204,"Experiencia exportadora: Exportador frecuente (exporta regularmente).
Cámaras/asociaciones: CERA, Cámara Argentina de Productores de Extracto de Quebracho.
Rubro: Curtientes y Taninos.",Curtientes y Taninos,,Puerto Tirol,"Calle Unitán S/N, CP 3505, Puerto Tirol, Chaco",www.unitan.net,,,,,"Alemania, Argelia, Australia, Bangladesh, Bolivia, Brasil, Canadá, Chile, China, Colombia, Corea, Ecuador, Egipto, España, Finlandia, Francia, Georgia, Grecia, Holanda, India, Italia, Japón, México, Pakistán, Paraguay, Perú, Polonia, Portugal, Rusia, Sudáfrica, Taiwán, Tailandia, Turquía, UK, USA | Interés: Indonesia, Vietnam, Países africanos","ISO, Senasa, Orgánico, Kosher, Halal, BPM, GMP+, ZDHC, Vegan",true,Aditivos para cartones/,Aditivos para cartones/,3202.90
Unitán S.A.I.C.A.,Unitán S.A.I.C.A.,30506733002,Antonio Oscar Gil,aogil@unitan.net,54 9 (11) 41920204,"Experiencia exportadora: Exportador frecuente (exporta regularmente).
Cámaras/asociaciones: CERA, Cámara Argentina de Productores de Extracto de Quebracho.
Rubro: Curtientes y Taninos.",Curtientes y Taninos,,Puerto Tirol,"Calle Unitán S/N, CP 3505, Puerto Tirol, Chaco",www.unitan.net,,,,,"Alemania, Argelia, Australia, Bangladesh, Bolivia, Brasil, Canadá, Chile, China, Colombia, Corea, Ecuador, Egipto, España, Finlandia, Francia, Georgia, Grecia, Holanda, India, Italia, Japón, México, Pakistán, Paraguay, Perú, Polonia, Portugal, Rusia, Sudáfrica, Taiwán, Tailandia, Turquía, UK, USA | Interés: Indonesia, Vietnam, Países africanos","ISO, Senasa, Orgánico, Kosher, Halal, BPM, GMP+, ZDHC, Vegan",true,Aditivos para papeles,Aditivos para papeles,3202.90
Unitán S.A.I.C.A.,Unitán S.A.I.C.A.,30506733002,Antonio Oscar Gil,aogil@unitan.net,54 9 (11) 41920204,"Experiencia exportadora: Exportador frecuente (exporta regularmente).
Cámaras/asociaciones: CERA, Cámara Argentina de Productores de Extracto de Quebracho.
Rubro: Curtientes y Taninos.",Curtientes y Taninos,,Puerto Tirol,"Calle Unitán S/N, CP 3505, Puerto Tirol, Chaco",www.unitan.net,,,,,"Alemania, Argelia, Australia, Bangladesh, Bolivia, Brasil, Canadá, Chile, China, Colombia, Corea, Ecuador, Egipto, España, Finlandia, Francia, Georgia, Grecia, Holanda, India, Italia, Japón, México, Pakistán, Paraguay, Perú, Polonia, Portugal, Rusia, Sudáfrica, Taiwán, Tailandia, Turquía, UK, USA | Interés: Indonesia, Vietnam, Países africanos","ISO, Senasa, Orgánico, Kosher, Halal, BPM, GMP+, ZDHC, Vegan",true,Aditivos para maderas,Aditivos para maderas,3202.90
Unitán S.A.I.C.A.,Unitán S.A.I.C.A.,30506733002,Antonio Oscar Gil,aogil@unitan.net,54 9 (11) 41920204,"Experiencia exportadora: Exportador frecuente (exporta regularmente).
Cámaras/asociaciones: CERA, Cámara Argentina de Productores de Extracto de Quebracho.
Rubro: Curtientes y Taninos.",Curtientes y Taninos,,Puerto Tirol,"Calle Unitán S/N, CP 3505, Puerto Tirol, Chaco",www.unitan.net,,,,,"Alemania, Argelia, Australia, Bangladesh, Bolivia, Brasil, Canadá, Chile, China, Colombia, Corea, Ecuador, Egipto, España, Finlandia, Francia, Georgia, Grecia, Holanda, India, Italia, Japón, México, Pakistán, Paraguay, Perú, Polonia, Portugal, Rusia, Sudáfrica, Taiwán, Tailandia, Turquía, UK, USA | Interés: Indonesia, Vietnam, Países africanos","ISO, Senasa, Orgánico, Kosher, Halal, BPM, GMP+, ZDHC, Vegan",true,Taninos para el Azúcar,Taninos para el Azúcar,3201.90
Unitán S.A.I.C.A.,Unitán S.A.I.C.A.,30506733002,Antonio Oscar Gil,aogil@unitan.net,54 9 (11) 41920204,"Experiencia exportadora: Exportador frecuente (exporta regularmente).
Cámaras/asociaciones: CERA, Cámara Argentina de Productores de Extracto de Quebracho.
Rubro: Curtientes y Taninos.",Curtientes y Taninos,,Puerto Tirol,"Calle Unitán S/N, CP 3505, Puerto Tirol, Chaco",www.unitan.net,,,,,"Alemania, Argelia, Australia, Bangladesh, Bolivia, Brasil, Canadá, Chile, China, Colombia, Corea, Ecuador, Egipto, España, Finlandia, Francia, Georgia, Grecia, Holanda, India, Italia, Japón, México, Pakistán, Paraguay, Perú, Polonia, Portugal, Rusia, Sudáfrica, Taiwán, Tailandia, Turquía, UK, USA | Interés: Indonesia, Vietnam, Países africanos","ISO, Senasa, Orgánico, Kosher, Halal, BPM, GMP+, ZDHC, Vegan",true,Flotación de minerales,Flotación de minerales,3824.90
Unitán S.A.I.C.A.,Unitán S.A.I.C.A.,30506733002,Antonio Oscar Gil,aogil@unitan.net,54 9 (11) 41920204,"Experiencia exportadora: Exportador frecuente (exporta regularmente).
Cámaras/asociaciones: CERA, Cámara Argentina de Productores de Extracto de Quebracho.
Rubro: Curtientes y Taninos.",Curtientes y Taninos,,Puerto Tirol,"Calle Unitán S/N, CP 3505, Puerto Tirol, Chaco",www.unitan.net,,,,,"Alemania, Argelia, Australia, Bangladesh, Bolivia, Brasil, Canadá, Chile, China, Colombia, Corea, Ecuador, Egipto, España, Finlandia, Francia, Georgia, Grecia, Holanda, India, Italia, Japón, México, Pakistán, Paraguay, Perú, Polonia, Portugal, Rusia, Sudáfrica, Taiwán, Tailandia, Turquía, UK, USA | Interés: Indonesia, Vietnam, Países africanos","ISO, Senasa, Orgánico, Kosher, Halal, BPM, GMP+, ZDHC, Vegan",true,Dispersantes,Dispersantes,3811.90
Unitán S.A.I.C.A.,Unitán S.A.I.C.A.,30506733002,Antonio Oscar Gil,aogil@unitan.net,54 9 (11) 41920204,"Experiencia exportadora: Exportador frecuente (exporta regularmente).
Cámaras/asociaciones: CERA, Cámara Argentina de Productores de Extracto de Quebracho.
Rubro: Curtientes y Taninos.",Curtientes y Taninos,,Puerto Tirol,"Calle Unitán S/N, CP 3505, Puerto Tirol, Chaco",www.unitan.net,,,,,"Alemania, Argelia, Australia, Bangladesh, Bolivia, Brasil, Canadá, Chile, China, Colombia, Corea, Ecuador, Egipto, España, Finlandia, Francia, Georgia, Grecia, Holanda, India, Italia, Japón, México, Pakistán, Paraguay, Perú, Polonia, Portugal, Rusia, Sudáfrica, Taiwán, Tailandia, Turquía, UK, USA | Interés: Indonesia, Vietnam, Países africanos","ISO, Senasa, Orgánico, Kosher, Halal, BPM, GMP+, ZDHC, Vegan",true,Colorantes textiles naturales,Colorantes textiles naturales,3203.00
Veronelli Ethel Carolina Alexandra,D'Benizio Alfajores Chaqueños,27288066588,Ethel Carolina Veronelli,veronellicarolina0@gmail.com,+54 9 3735 507976,"Marca comercial: D'Benizio Alfajores Chaqueños.
Experiencia exportadora: Exportador potencial (no exporta / nunca exportó).
Rubro: Alimentos y Bebidas.",Alimentos y Bebidas,,Villa Ángela,"Mathurin 880, CP 3540, Villa Ángela, Chaco",https://dbeniziochaquenos.mitiendanube.com,,https://www.instagram.com/dbenizioalfajoreschaquenos/,,,,,true,"D'Benizio Alfajores Chaqueños: marca dedicada a la elaboración de alfajores premium, ingredientes seleccionados y recetas exclusivas.","D'Benizio Alfajores Chaqueños: marca dedicada a la elaboración de alfajores premium, ingredientes seleccionados y recetas exclusivas.",1905.31.00
